tab 	sites																					
site	location	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	PLon	PLat	age_unit	citations
PL14	Pelham-Loudville	9.5	32.8	142	6	6	6		5.6	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	86.5	64.3	Ma	10.1046/j.1365-246x.2000.00193.x
PL15	Pelham-Loudville	357.6	34.2	53	9	9	9		7.1	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	112.1	66.9	Ma	10.1046/j.1365-246x.2000.00193.x
PL16	Pelham-Loudville	25.1	41.2	38	3	3	3		20.1	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	51.5	62.1	Ma	10.1046/j.1365-246x.2000.00193.x
PL17	Pelham-Loudville	5.6	34.4	264	3	3	3		7.6	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	116.1	64.8	Ma	10.1046/j.1365-246x.2000.00193.x
PL18	Pelham-Loudville	350	28.8	17	6	6	6		16.7	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	128.8	61.8	Ma	10.1046/j.1365-246x.2000.00193.x
PL19	Pelham-Loudville	356.3	32	225	8	8	8		3.7	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	116.1	64.8	Ma	10.1046/j.1365-246x.2000.00193.x
PL20	Pelham-Loudville	1.2	35.7	60	7	7	7		7.9	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	104.6	67.6	Ma	10.1046/j.1365-246x.2000.00193.x
PL21	Pelham-Loudville	39.4	33.8	40	5	5	5		12.3	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	40.7	49.1	Ma	10.1046/j.1365-246x.2000.00193.x
PL22	Pelham-Loudville	18.9	36.8	23	6	6	6		14.2	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	65.2	63	Ma	10.1046/j.1365-246x.2000.00193.x
PL23	Pelham-Loudville	6.9	41	133	4	4	4		8	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	88.2	70.3	Ma	10.1046/j.1365-246x.2000.00193.x
W1	Ware	13.3	45.8	151	6	6	6		5.5	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	68.2	71.3	Ma	10.1046/j.1365-246x.2000.00193.x
W2	Ware	15.6	45	917	5	5	5		2.5	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	64.2	69.7	Ma	10.1046/j.1365-246x.2000.00193.x
W3	Ware	7.6	46.3	90	6	6	6		7.1	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	82.9	74	Ma	10.1046/j.1365-246x.2000.00193.x
W4	Ware	358	45.5	115	5	5	5		5.8	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	114.7	74.5	Ma	10.1046/j.1365-246x.2000.00193.x
W5	Ware	4.2	43.8	308	8	8	8		3.2	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	94.9	73.1	Ma	10.1046/j.1365-246x.2000.00193.x
W6	Ware	8.4	47.7	154	4	4	4		7.4	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	78	75	Ma	10.1046/j.1365-246x.2000.00193.x
W7	Ware	1.7	39.4	116	5	5	5		7.1	42.67	-72.75	Intrusive:Igneous	Dike	Diabase	LT-AF-Z:LT-T-Z:LP-AF-DIR:LP-T-DIR:DE-BFL	g	i	200	103.5	69.7	Ma	10.1046/j.1365-246x.2000.00193.x
